ID_reporte,fecha_reporte,ID_clima,id_producto,ID_finca,PH,Tipo_cafe,ubicacion,hectarias,Humedad,Temperatura,Fecha_clima
8540,5/29/2025,202,2,103,5.6,Robusta,Antioquia,9,91,19.7,5/29/2025
1765,5/28/2025,201,2,105,5.5,Robusta,Caldas,9,68,20.8,5/28/2025
6020,5/27/2025,202,4,105,6.5,Excelsa,Caldas,16,93,23.8,5/27/2025
5904,5/11/2025,201,3,102,6.9,Liberica,Caldas,11,91,20.2,5/11/2025
9094,5/23/2025,202,3,101,6.8,Liberica,Tolima,10,70,19.2,5/23/2025
7844,5/22/2025,204,1,104,5.6,Robusta,Tolima,15,81,24.7,5/22/2025
3166,5/24/2025,203,2,103,5.5,Robusta,Tolima,12,93,22.1,5/24/2025
2863,5/28/2025,201,2,105,6,Liberica,Antioquia,16,78,27,5/28/2025
8851,5/26/2025,204,2,104,5.2,Robusta,Caldas,11,83,21.5,5/26/2025
10124,5/1/2025,203,3,101,6,Desconocido,Caldas,10,76,29.3,5/1/2025
3341,5/20/2025,203,3,101,5.5,Arábica,Huila,8,81,20.7,5/20/2025
6528,5/11/2025,202,3,104,6,Arábica,Caldas,13,75,25.3,5/11/2025
7744,5/22/2025,204,1,103,6.6,Liberica,Huila,11,79,24.6,5/22/2025
5004,5/13/2025,202,3,102,6.3,Liberica,Caldas,20,80,21.7,5/13/2025
2124,5/22/2025,201,1,104,5.2,Excelsa,Antioquia,15,72,18.2,5/22/2025
9710,5/1/2025,204,4,101,5.3,Excelsa,Antioquia,19,70,22.3,5/1/2025
5050,5/5/2025,202,4,101,6.4,Arábica,Caldas,18,73,20.9,5/5/2025
8641,5/7/2025,203,1,105,5.1,Arábica,Caldas,18,81,23.8,5/7/2025
3345,5/2/2025,203,1,102,6.3,Arábica,Tolima,5,86,19.3,5/2/2025
5072,5/7/2025,202,4,105,5.8,Arábica,Huila,14,70,22,5/7/2025
8217,5/30/2025,203,4,105,6.7,Arábica,Antioquia,6,80,23,5/30/2025
5217,5/3/2025,202,2,103,5.3,Arábica,Antioquia,5,91,29.5,5/3/2025
8953,5/28/2025,202,3,104,6.3,Excelsa,Antioquia,17,74,19.8,5/28/2025
6971,5/30/2025,204,1,105,6.4,Liberica,Nariño,12,86,25.3,5/30/2025
4351,5/6/2025,202,3,105,5.8,Liberica,Antioquia,11,78,27.4,5/6/2025
5696,5/19/2025,203,2,105,5.4,Excelsa,Huila,13,94,20.3,5/19/2025
4400,5/25/2025,202,4,101,7,Liberica,Caldas,14,83,29.3,5/25/2025
5082,5/13/2025,203,4,101,5.5,Excelsa,Tolima,20,68,22.1,5/13/2025
2225,5/23/2025,204,4,101,6.5,Robusta,Nariño,13,65,26.4,5/23/2025
7293,5/20/2025,202,1,104,6.3,Arábica,Tolima,14,78,26.9,5/20/2025
4123,5/6/2025,201,2,104,6.8,Robusta,Tolima,17,60,27.1,5/6/2025
1511,5/22/2025,201,1,102,6.5,Robusta,Huila,19,92,22.5,5/22/2025
6795,5/29/2025,204,3,105,5.8,Robusta,Huila,19,89,24,5/29/2025
10418,5/13/2025,202,4,105,5.1,Liberica,Nariño,20,64,18.2,5/13/2025
1097,5/12/2025,201,1,103,6.9,Liberica,Antioquia,6,66,29.3,5/12/2025
7682,5/10/2025,204,4,102,6,Robusta,Tolima,6,90,25.3,5/10/2025
2513,5/30/2025,202,4,103,5.2,Excelsa,Nariño,15,85,22.7,5/30/2025
9792,5/15/2025,202,4,105,6.8,Robusta,Antioquia,16,62,25.2,5/15/2025
7518,5/21/2025,202,1,104,6,Robusta,Antioquia,14,90,24.6,5/21/2025
1034,5/24/2025,201,1,105,5.9,Liberica,Antioquia,9,69,-5,5/24/2025
8888,5/27/2025,203,4,103,6.6,Excelsa,Caldas,16,81,19.7,5/27/2025
7831,5/19/2025,202,4,105,5.5,Robusta,Caldas,20,70,23.2,5/19/2025
6422,5/16/2025,202,2,104,6.5,Arábica,Tolima,15,74,18.7,5/16/2025
2069,5/30/2025,202,2,104,5.3,Excelsa,Tolima,5,80,27,5/30/2025
2348,5/31/2025,202,2,103,6.5,Arábica,Nariño,16,64,29.3,5/31/2025
7006,5/18/2025,202,2,104,5.6,Excelsa,Caldas,12,73,26,5/18/2025
7040,5/1/2025,201,4,104,5.5,Robusta,Caldas,8,70,27.8,5/1/2025
4818,5/11/2025,204,3,102,6.8,Robusta,Huila,11,82,30,5/11/2025
9447,5/5/2025,202,4,105,6.3,Excelsa,Caldas,13,71,23.6,5/5/2025
6270,5/24/2025,204,2,104,6.5,Liberica,Caldas,6,90,19.8,5/24/2025
7898,5/22/2025,203,2,104,5.9,Robusta,Huila,16,75,22.1,5/22/2025
6310,5/27/2025,204,1,103,6.3,Arábica,Antioquia,19,74,18.3,5/27/2025
1032,5/3/2025,204,2,105,6.9,Excelsa,Tolima,11,78,25.9,5/3/2025
6675,5/21/2025,204,4,102,5.3,Liberica,Huila,12,86,23,5/21/2025
5387,5/2/2025,203,2,101,6.7,Robusta,Huila,15,64,27.2,5/2/2025
1030,5/4/2025,203,2,104,5.5,Excelsa,Caldas,19,71,25.1,5/4/2025
5203,5/8/2025,201,1,103,5.4,Excelsa,Caldas,5,93,29.5,5/8/2025
8508,5/4/2025,202,3,102,5.9,Excelsa,Caldas,17,95,28.5,5/4/2025
1736,5/15/2025,204,1,102,6.7,Excelsa,Tolima,19,72,18.3,5/15/2025
3068,5/28/2025,203,3,101,5.1,Liberica,Nariño,6,67,21.7,5/28/2025
1107,5/27/2025,204,4,105,5.1,Robusta,Antioquia,14,79,21.7,5/27/2025
10645,5/15/2025,203,1,105,5,Excelsa,Nariño,14,94,25.9,5/15/2025
1994,5/28/2025,204,4,103,5.9,Liberica,Nariño,9,78,23.4,5/28/2025
10413,5/9/2025,202,2,105,6.7,Liberica,Antioquia,20,94,24,5/9/2025
8059,5/10/2025,202,2,104,5.8,Liberica,Tolima,16,70,19.3,5/10/2025
7790,5/27/2025,202,1,101,5.5,Liberica,Tolima,14,75,23.6,5/27/2025
1361,5/30/2025,201,1,101,5.2,Robusta,Nariño,8,66,20.3,5/30/2025
1305,5/7/2025,202,4,105,5.5,Excelsa,Caldas,5,68,20.8,5/7/2025
3628,5/5/2025,203,3,101,6.4,Liberica,Nariño,11,70,-5,5/5/2025
9966,5/3/2025,203,2,103,6.1,Liberica,Caldas,11,68,22.1,5/3/2025
5514,5/13/2025,203,3,102,6.3,Excelsa,Caldas,18,81,24.4,5/13/2025
6911,5/2/2025,204,1,105,6.7,Arábica,Huila,8,84,29,5/2/2025
9314,5/3/2025,203,1,102,6,Arábica,Antioquia,9,73,20.7,5/3/2025
4101,5/5/2025,201,1,103,6.1,Robusta,Caldas,5,95,28.6,5/5/2025
6704,5/10/2025,202,4,102,6,Excelsa,Nariño,19,94,21.9,5/10/2025
4899,5/26/2025,201,4,105,5.5,Excelsa,Huila,6,66,27,5/26/2025
8931,5/4/2025,202,4,103,5.1,Robusta,Tolima,16,66,23.2,5/4/2025
1622,5/26/2025,203,2,104,5.4,Liberica,Antioquia,7,87,28.4,5/26/2025
8236,5/9/2025,204,1,105,6.3,Arábica,Antioquia,16,83,21.6,5/9/2025
3499,5/3/2025,204,3,104,6.9,Robusta,Huila,12,81,25.1,5/3/2025
1714,5/23/2025,201,3,101,5.2,Excelsa,Tolima,10,91,29,5/23/2025
9404,5/16/2025,203,4,105,6.6,Robusta,Antioquia,11,77,27.3,5/16/2025
3856,5/27/2025,202,1,104,5.9,Arábica,Antioquia,17,89,20.3,5/27/2025
5270,5/31/2025,202,2,103,6.7,Liberica,Caldas,20,66,26.8,5/31/2025
3909,5/6/2025,203,3,101,6.4,Liberica,Antioquia,18,61,26.6,5/6/2025
9081,5/4/2025,204,2,105,6.9,Excelsa,Caldas,11,78,26.9,5/4/2025
5517,5/27/2025,201,1,101,7,Arábica,Caldas,8,77,28.7,5/27/2025
2262,5/2/2025,202,1,101,5.1,Excelsa,Antioquia,5,95,28.5,5/2/2025
1971,5/18/2025,203,1,105,6.7,Arábica,Huila,7,69,22.6,5/18/2025
4913,5/26/2025,202,2,103,6.8,Liberica,Huila,13,91,21.6,5/26/2025
6199,5/12/2025,202,2,101,6.6,Arábica,Tolima,7,66,21.6,5/12/2025
1260,5/12/2025,201,2,105,5.7,Liberica,Huila,8,88,26.9,5/12/2025
4791,5/3/2025,201,4,104,5.4,Robusta,Caldas,7,67,28.1,5/3/2025
10203,5/3/2025,203,3,102,6.7,Robusta,Huila,17,85,23.1,5/3/2025
1488,5/22/2025,204,2,101,6.3,Robusta,Caldas,15,92,24.4,5/22/2025
8908,5/28/2025,202,2,102,5.1,Excelsa,Tolima,14,77,28.6,5/28/2025
1519,5/23/2025,202,4,105,5.8,Liberica,Caldas,15,87,21,5/23/2025
9343,5/5/2025,204,2,104,7,Excelsa,Antioquia,7,95,29.6,5/5/2025
1312,5/13/2025,204,2,101,6.1,Excelsa,Caldas,11,79,27.1,5/13/2025
4232,5/16/2025,202,3,103,5.6,Arábica,Tolima,12,82,24.7,5/16/2025
8458,5/13/2025,201,1,105,6.6,Arábica,Tolima,10,70,18.5,5/13/2025
10784,5/14/2025,202,3,101,5.9,Excelsa,Nariño,14,77,29.8,5/14/2025
6184,5/17/2025,204,3,101,5.8,Liberica,Caldas,14,72,23.2,5/17/2025
9077,5/26/2025,201,4,101,5.5,Liberica,Nariño,18,76,18.9,5/26/2025
8773,5/21/2025,201,1,104,6.1,Liberica,Caldas,20,73,22.3,5/21/2025
3738,5/23/2025,203,3,104,6.6,Arábica,Huila,6,75,29.3,5/23/2025
8842,5/5/2025,201,1,102,6.1,Robusta,Tolima,9,87,25,5/5/2025
7262,5/16/2025,202,2,105,6.4,Excelsa,Huila,17,69,20.9,5/16/2025
9206,5/24/2025,202,2,105,6,Arábica,Nariño,5,74,21.7,5/24/2025
10336,5/5/2025,203,1,105,5.7,Liberica,Antioquia,11,82,27.5,5/5/2025
5195,5/20/2025,201,3,105,6.2,Liberica,Antioquia,10,61,20.9,5/20/2025
9001,5/25/2025,203,1,101,7,Robusta,Huila,20,90,21.4,5/25/2025
8378,5/1/2025,204,3,105,6.5,Excelsa,Tolima,6,80,24.8,5/1/2025
4435,5/15/2025,204,3,102,6.8,Robusta,Caldas,16,81,22.6,5/15/2025
6382,5/22/2025,203,4,103,5.7,Robusta,Huila,18,61,19.2,5/22/2025
1959,5/30/2025,201,4,103,5.3,Arábica,Nariño,20,80,28.2,5/30/2025
1417,5/21/2025,204,2,103,5.2,Robusta,Nariño,17,93,27.3,5/21/2025
6742,5/6/2025,204,2,103,6.8,Arábica,Nariño,12,83,24.6,5/6/2025
7728,5/27/2025,201,2,105,6.1,Liberica,Antioquia,12,79,27.1,5/27/2025
5382,5/2/2025,203,3,102,6.7,Robusta,Caldas,5,95,24.1,5/2/2025
6197,5/30/2025,204,2,103,5.1,Robusta,Caldas,19,88,28,5/30/2025
2113,5/2/2025,204,3,105,6.6,Arábica,Tolima,15,66,27.9,5/2/2025
3689,5/14/2025,201,2,102,5.7,Excelsa,Nariño,9,74,29,5/14/2025
9820,5/25/2025,203,4,103,6.5,Arábica,Caldas,10,92,29.9,5/25/2025
8808,5/26/2025,204,1,103,5.3,Robusta,Antioquia,12,95,24.4,5/26/2025
4411,5/25/2025,203,4,104,5.2,Excelsa,Nariño,7,79,26.3,5/25/2025
5614,5/17/2025,202,2,102,5.6,Robusta,Caldas,20,92,29.2,5/17/2025
2374,5/22/2025,201,3,101,6.9,Excelsa,Tolima,19,80,28.6,5/22/2025
7443,5/14/2025,202,3,103,5.1,Arábica,Caldas,7,89,25,5/14/2025
4071,5/30/2025,201,3,105,5.7,Robusta,Huila,5,60,18.5,5/30/2025
4016,5/23/2025,204,3,103,5.1,Robusta,Huila,15,63,19.1,5/23/2025
5823,5/27/2025,204,4,104,5.6,Excelsa,Caldas,17,73,22.1,5/27/2025
8822,5/25/2025,203,3,102,5.2,Excelsa,Caldas,8,83,21.1,5/25/2025
1093,5/8/2025,202,1,103,5.1,Liberica,Tolima,19,66,28.9,5/8/2025
10421,5/9/2025,201,2,104,5.4,Arábica,Huila,16,60,22.9,5/9/2025
5443,5/6/2025,202,1,101,5.7,Robusta,Huila,12,88,26.3,5/6/2025
8602,5/8/2025,201,1,102,5.6,Excelsa,Huila,12,63,23.6,5/8/2025
4835,5/11/2025,202,3,103,5.2,Excelsa,Nariño,18,90,22.5,5/11/2025
10702,5/8/2025,202,4,103,6.8,Excelsa,Tolima,15,78,29.8,5/8/2025
4394,5/30/2025,202,2,102,6.5,Arábica,Caldas,19,83,29.6,5/30/2025
5752,5/1/2025,203,3,102,5.5,Arábica,Tolima,11,88,23.2,5/1/2025
8229,5/21/2025,203,3,102,6.8,Robusta,Nariño,11,93,27.9,5/21/2025
10191,5/30/2025,204,2,104,6.6,Excelsa,Caldas,16,86,19,5/30/2025
3361,5/22/2025,204,2,105,6.4,Arábica,Caldas,7,78,26.1,5/22/2025
2148,5/17/2025,203,2,101,6.3,Robusta,Caldas,15,69,19.7,5/17/2025
6666,5/8/2025,203,2,104,5.2,Liberica,Nariño,20,89,28.3,5/8/2025
9075,5/15/2025,204,1,101,6.3,Arábica,Nariño,10,63,27.3,5/15/2025
5943,5/13/2025,204,3,104,6.9,Liberica,Huila,17,76,22.4,5/13/2025
4663,5/25/2025,201,4,104,6.2,Excelsa,Caldas,5,95,21.1,5/25/2025
2563,5/2/2025,204,2,103,5.9,Excelsa,Tolima,20,67,18.4,5/2/2025
5113,5/22/2025,202,4,101,5.3,Arábica,Tolima,19,69,28.2,5/22/2025
10050,5/9/2025,203,3,103,6,Excelsa,Tolima,20,81,19.8,5/9/2025
10276,5/13/2025,202,2,103,6.2,Excelsa,Nariño,16,77,27.1,5/13/2025
9538,5/24/2025,203,2,102,6.7,Liberica,Antioquia,20,87,22.7,5/24/2025
1795,5/23/2025,201,4,105,5.8,Arábica,Tolima,19,74,18,5/23/2025
6854,5/16/2025,201,4,102,7,Arábica,Tolima,5,94,25.1,5/16/2025
2594,5/28/2025,204,2,104,5.6,Liberica,Caldas,13,84,29.8,5/28/2025
8418,5/18/2025,202,4,104,6.3,Excelsa,Antioquia,12,63,26.8,5/18/2025
6267,5/2/2025,203,1,104,6.7,Arábica,Huila,19,92,29.6,5/2/2025
8147,5/10/2025,201,4,105,6.4,Arábica,Nariño,11,78,26,5/10/2025
1089,5/24/2025,204,3,101,6.1,Arábica,Nariño,10,80,21,5/24/2025
10446,5/3/2025,204,2,105,6.9,Liberica,Nariño,20,60,23.1,5/3/2025
7754,5/3/2025,204,4,102,6,Arábica,Tolima,17,94,22.6,5/3/2025
4502,5/22/2025,201,1,105,6,Liberica,Nariño,12,86,24,5/22/2025
3234,5/3/2025,202,1,104,6.1,Arábica,Nariño,20,92,22.8,5/3/2025
3803,5/26/2025,204,4,103,5.8,Arábica,Nariño,14,82,28.9,5/26/2025
5424,5/15/2025,204,2,102,6,Liberica,Nariño,15,87,27.9,5/15/2025
6663,5/17/2025,204,3,104,5.3,Excelsa,Nariño,13,76,21.9,5/17/2025
8170,5/15/2025,202,2,101,6.5,Liberica,Huila,20,64,29.5,5/15/2025
9337,5/30/2025,202,1,104,5.7,Arábica,Nariño,10,82,25,5/30/2025
3148,5/16/2025,201,2,101,5.1,Excelsa,Antioquia,8,94,20.7,5/16/2025
8969,5/11/2025,201,3,105,5.7,Robusta,Tolima,5,87,20.1,5/11/2025
7551,5/18/2025,201,3,103,6.6,Liberica,Antioquia,16,72,19.5,5/18/2025
7164,5/17/2025,204,1,105,5.6,Excelsa,Nariño,10,84,23.7,5/17/2025
2495,5/22/2025,201,1,102,5.4,Excelsa,Tolima,7,90,-5,5/22/2025
8094,5/22/2025,203,1,104,6.2,Arábica,Nariño,15,77,19.6,5/22/2025
2409,5/22/2025,201,4,101,5.8,Liberica,Huila,14,64,21,5/22/2025
7691,5/22/2025,204,2,104,5.3,Robusta,Caldas,8,89,26.7,5/22/2025
1109,5/18/2025,201,4,103,5.1,Arábica,Caldas,5,77,21.8,5/18/2025
6636,5/25/2025,201,4,103,6.5,Excelsa,Huila,20,94,18.7,5/25/2025
7604,5/15/2025,204,4,105,6.8,Arábica,Caldas,7,89,23.1,5/15/2025
2091,5/27/2025,201,4,102,6.1,Excelsa,Nariño,6,72,24.1,5/27/2025
6560,5/22/2025,204,1,103,6.8,Liberica,Huila,6,80,28.4,5/22/2025
10412,5/10/2025,204,3,104,5.8,Arábica,Antioquia,11,76,24.4,5/10/2025
9143,5/2/2025,203,4,102,6.4,Liberica,Tolima,19,78,25.9,5/2/2025
9664,5/27/2025,204,4,103,6.8,Liberica,Caldas,13,92,20.6,5/27/2025
7596,5/17/2025,204,4,102,5.8,Robusta,Antioquia,6,76,23.6,5/17/2025
7871,5/28/2025,201,3,105,6.5,Robusta,Nariño,10,71,28,5/28/2025
5814,5/27/2025,201,1,103,5.8,Arábica,Antioquia,18,87,30,5/27/2025
7553,5/29/2025,204,1,105,7,Excelsa,Tolima,20,89,26.7,5/29/2025
8437,5/9/2025,203,3,103,5.1,Robusta,Antioquia,14,78,29.3,5/9/2025
6941,5/31/2025,201,3,103,5.4,Excelsa,Huila,11,93,24.9,5/31/2025
9501,5/5/2025,204,4,101,6.8,Excelsa,Tolima,10,93,23.7,5/5/2025
7827,5/31/2025,202,3,102,7,Excelsa,Antioquia,10,80,21.2,5/31/2025
5131,5/28/2025,204,1,102,5.3,Robusta,Tolima,11,71,22,5/28/2025
8802,5/10/2025,202,4,103,6.5,Arábica,Caldas,20,91,27,5/10/2025
8754,5/6/2025,202,4,101,6.1,Liberica,Huila,10,85,23,5/6/2025
5722,5/1/2025,202,2,104,5.7,Robusta,Tolima,18,82,23.4,5/1/2025
2651,5/4/2025,202,4,104,5.1,Arábica,Nariño,20,80,21.4,5/4/2025
5141,5/26/2025,202,4,102,6.6,Excelsa,Nariño,18,70,26.2,5/26/2025
3030,5/14/2025,202,2,103,6.3,Arábica,Caldas,12,90,18.4,5/14/2025
9518,5/8/2025,203,1,103,6.6,Arábica,Tolima,15,89,21.1,5/8/2025
5576,5/29/2025,202,2,104,5.9,Robusta,Nariño,8,82,29.8,5/29/2025
4993,5/18/2025,204,1,102,6.1,Arábica,Caldas,18,91,24.9,5/18/2025
8377,5/29/2025,204,2,104,5.6,Robusta,Huila,9,73,26.9,5/29/2025
7150,5/24/2025,203,3,104,5.3,Arábica,Caldas,12,68,19.9,5/24/2025
6027,5/4/2025,204,2,104,6.2,Liberica,Nariño,16,87,25.1,5/4/2025
5732,5/22/2025,203,2,101,6.2,Liberica,Antioquia,13,71,27.5,5/22/2025
8549,5/21/2025,202,2,101,6.6,Excelsa,Tolima,17,77,25.1,5/21/2025
9135,5/9/2025,201,1,105,6.9,Excelsa,Nariño,10,83,18.4,5/9/2025
2607,5/31/2025,204,4,101,6.1,Robusta,Nariño,14,72,27.7,5/31/2025
5774,5/3/2025,202,4,102,6.8,Robusta,Nariño,15,67,18,5/3/2025
9110,5/13/2025,201,4,105,6.2,Excelsa,Nariño,9,88,28.4,5/13/2025
7952,5/1/2025,203,4,101,6.5,Robusta,Tolima,16,71,21.2,5/1/2025
7005,5/21/2025,203,2,104,5.1,Arábica,Antioquia,17,78,24.4,5/21/2025
8729,5/11/2025,204,2,102,5.9,Excelsa,Huila,19,84,27.6,5/11/2025
4542,5/7/2025,204,1,104,5.8,Robusta,Nariño,7,69,28.3,5/7/2025
2795,5/20/2025,202,1,104,6.6,Liberica,Nariño,13,90,21.7,5/20/2025
9732,5/8/2025,204,2,105,99.9,Excelsa,Antioquia,7,84,19.2,5/8/2025
5920,5/2/2025,204,1,105,6.4,Robusta,Tolima,19,62,27.4,5/2/2025
6538,5/29/2025,201,4,102,6.6,Liberica,Antioquia,10,73,19.2,5/29/2025
4873,5/30/2025,204,4,103,5.6,Arábica,Huila,12,68,28.5,5/30/2025
9869,5/18/2025,202,3,103,5.4,Arábica,Huila,14,81,18.4,5/18/2025
3255,5/7/2025,204,2,103,6.7,Liberica,Nariño,10,65,20.1,5/7/2025
4413,5/28/2025,201,3,104,6.1,Robusta,Huila,19,72,29,5/28/2025
8397,5/15/2025,204,2,104,6.4,Arábica,Antioquia,13,80,26.5,5/15/2025
6415,5/21/2025,204,1,103,6.2,Excelsa,Caldas,15,72,23.9,5/21/2025
8400,5/12/2025,202,2,105,6.8,Excelsa,Nariño,20,87,29.2,5/12/2025
10101,5/5/2025,201,1,101,5.1,Robusta,Antioquia,20,60,22,5/5/2025
3616,5/13/2025,201,3,101,5.6,Liberica,Tolima,12,85,29.6,5/13/2025
8389,5/21/2025,203,4,103,6.4,Excelsa,Huila,13,60,26.7,5/21/2025
